date,ticker,yahoo_symbol,prev_close,open,high,low,close,volume,gap_pct,day_chg_pct,open_pull_at,close_pull_at,status
2026-04-24,HFCL,HFCL.NS,93.3,98.2,100.94,96.21,100.22,31416231,5.252,7.417,,2026-04-24T16:10:05+0530,ok
2026-04-24,GMDCLTD,GMDCLTD.NS,691.25,686.0,690.4,654.0,669.85,3362592,-0.759,-3.096,,2026-04-24T16:10:05+0530,ok
2026-04-24,HINDZINC,HINDZINC.NS,590.3,594.0,598.5,572.8,588.5,13295446,0.627,-0.305,,2026-04-24T16:10:05+0530,ok
2026-04-24,IREDA,IREDA.NS,130.14,137.5,138.64,134.16,135.89,11028895,5.655,4.418,,2026-04-24T16:10:05+0530,ok
2026-04-24,MOIL,MOIL.NS,321.2,321.6,324.9,316.6,319.1,568034,0.125,-0.654,,2026-04-24T16:10:05+0530,ok
2026-04-24,PARADEEP,PARADEEP.NS,126.93,137.0,138.48,131.32,133.67,7272755,7.934,5.31,,2026-04-24T16:10:05+0530,ok
2026-04-24,EXIDEIND,EXIDEIND.NS,329.7,346.45,347.95,339.4,342.8,1970569,5.08,3.973,,2026-04-24T16:10:05+0530,ok
2026-04-24,HBLENGINE,HBLENGINE.NS,775.4,812.55,826.8,787.55,798.35,1473660,4.791,2.96,,2026-04-24T16:10:05+0530,ok
2026-04-24,GRAPHITE,GRAPHITE.NS,711.75,739.0,741.6,717.05,723.4,1436901,3.829,1.637,,2026-04-24T16:10:05+0530,ok
2026-04-24,STLTECH,STLTECH.NS,271.63,268.03,279.3,264.06,266.45,5771599,-1.325,-1.907,,2026-04-24T16:10:05+0530,ok
2026-04-24,WAAREEENER,WAAREEENER.NS,3489.1,3348.1001,3348.1001,3235.8999,3305.7,2963884,-4.041,-5.256,,2026-04-24T16:10:05+0530,ok
2026-04-24,MGL,MGL.NS,1137.75,1148.05,1154.9,1123.55,1130.15,209688,0.905,-0.668,,2026-04-24T16:10:05+0530,ok
2026-04-24,NTPC,NTPC.NS,398.0,404.75,405.25,399.2,401.85,6264717,1.696,0.967,,2026-04-24T16:10:05+0530,ok
2026-04-24,POWERGRID,POWERGRID.NS,319.7,316.0,317.9,314.5,316.4,9977045,-1.157,-1.032,,2026-04-24T16:10:05+0530,ok
2026-04-24,ADANIGREEN,ADANIGREEN.NS,1152.7,1222.0,1252.0,1150.05,1235.8,12959831,6.012,7.209,,2026-04-24T16:10:05+0530,ok
2026-04-24,TATAPOWER,TATAPOWER.NS,433.6,431.0,436.7,426.0,435.0,6777577,-0.6,0.323,,2026-04-24T16:10:05+0530,ok
2026-04-24,VEDL,VEDL.NS,771.0,734.95,734.95,707.6,720.95,19046954,-4.676,-6.492,,2026-04-24T16:10:05+0530,ok
2026-04-24,XAGUSD,SI=F,79.951,75.555,75.94,73.845,74.82,13866,-5.498,-6.418,,2026-04-24T16:10:05+0530,ok
2026-04-24,SILVERBEES,SILVERBEES.NS,237.27,229.44,229.44,226.5,227.89,22232597,-3.3,-3.953,,2026-04-24T16:10:05+0530,ok
2026-04-24,SILVER1,SILVER1.NS,24.09,23.27,23.4,22.93,23.15,6203497,-3.404,-3.902,,2026-04-24T16:10:05+0530,ok
2026-04-24,AVANTIFEED,AVANTIFEED.NS,1503.4,1475.4,1495.6,1394.5,1421.1,793634,-1.862,-5.474,,2026-04-24T16:10:05+0530,ok
2026-04-24,KAYNES,KAYNES.NS,4222.6,4408.0,4449.7998,4233.0,4266.7998,1191273,4.391,1.047,,2026-04-24T16:10:05+0530,ok
2026-04-24,DIXON,DIXON.NS,11211.0,10857.0,11086.0,10765.5,10815.5,709846,-3.158,-3.528,,2026-04-24T16:10:05+0530,ok
2026-04-24,SYRMA,SYRMA.NS,963.35,990.0,1008.85,965.9,969.6,1113695,2.766,0.649,,2026-04-24T16:10:05+0530,ok
2026-04-24,TATAELXSI,TATAELXSI.NS,4516.6,4233.5,4298.2998,4157.7002,4193.0,412762,-6.268,-7.165,,2026-04-24T16:10:05+0530,ok
2026-04-24,AMBER,AMBER.NS,7980.5,7800.0,7959.0,7740.5,7753.5,193940,-2.262,-2.844,,2026-04-24T16:10:05+0530,ok
2026-04-24,BEL,BEL.NS,457.55,450.0,451.2,438.75,444.45,11649711,-1.65,-2.863,,2026-04-24T16:10:05+0530,ok
2026-04-24,GRSE,GRSE.NS,2667.8,2894.0,2979.0,2818.0,2878.7,3647155,8.479,7.905,,2026-04-24T16:10:05+0530,ok
2026-04-24,MAZDOCK,MAZDOCK.NS,2621.2,2705.0,2726.0,2641.8,2680.3999,2286171,3.197,2.259,,2026-04-24T16:10:05+0530,ok
2026-04-24,SOLARINDS,SOLARINDS.NS,14907.0,15857.0,15995.0,14998.0,15056.0,284835,6.373,1.0,,2026-04-24T16:10:05+0530,ok
2026-04-24,MTARTECH,MTARTECH.NS,4942.0,5360.1001,5445.0,5100.1001,5139.2002,625415,8.46,3.99,,2026-04-24T16:10:05+0530,ok
2026-04-24,HAL,HAL.NS,4344.5,4352.5,4387.2998,4236.1001,4265.7998,799101,0.184,-1.811,,2026-04-24T16:10:05+0530,ok
2026-04-24,TEJASNET,TEJASNET.NS,414.85,404.0,424.5,396.25,411.0,4997447,-2.615,-0.928,,2026-04-24T16:10:05+0530,ok
2026-04-24,BHARTIARTL,BHARTIARTL.NS,1846.1,1845.0,1850.7,1807.3,1814.5,6306448,-0.06,-1.712,,2026-04-24T16:10:05+0530,ok
2026-04-24,POLYCAB,POLYCAB.NS,8198.5,8000.0,8088.0,7901.0,8033.0,616665,-2.421,-2.019,,2026-04-24T16:10:05+0530,ok
2026-04-24,KEI,KEI.NS,4880.6,4850.0,4887.3999,4750.0,4816.1001,262223,-0.627,-1.322,,2026-04-24T16:10:05+0530,ok
2026-04-24,ANANTRAJ,ANANTRAJ.NS,506.8,510.8,514.35,447.35,462.4,7140537,0.789,-8.761,,2026-04-24T16:10:05+0530,ok
2026-04-24,BLUESTAR,BLUESTARCO.NS,1889.0,1829.8,1846.3,1785.8,1818.4,304434,-3.134,-3.737,,2026-04-24T16:10:05+0530,ok
2026-04-24,TCS,TCS.NS,2579.6,2488.0,2505.0,2388.8,2396.8999,5106879,-3.551,-7.082,,2026-04-24T16:10:05+0530,ok
2026-04-24,INFY,INFY.NS,1312.6,1200.0,1223.9,1152.2,1154.6,42071669,-8.578,-12.037,,2026-04-24T16:10:05+0530,ok
2026-04-24,HCLTECH,HCLTECH.NS,1428.3,1264.4,1264.8,1198.1,1203.2,10897732,-11.475,-15.76,,2026-04-24T16:10:05+0530,ok
2026-04-24,PERSISTENT,PERSISTENT.NS,5325.2,5062.1001,5090.0,4734.0,4747.2998,1280250,-4.941,-10.852,,2026-04-24T16:10:05+0530,ok
2026-04-24,KPIT,KPITTECH.NS,734.4,733.5,733.95,690.15,709.6,2240492,-0.123,-3.377,,2026-04-24T16:10:05+0530,ok
2026-04-24,NAUKRI,NAUKRI.NS,1067.9,1015.0,1016.3,979.35,984.95,2114409,-4.954,-7.768,,2026-04-24T16:10:05+0530,ok
2026-04-24,TANLA,TANLA.NS,482.65,501.95,504.95,481.05,485.8,445731,3.999,0.653,,2026-04-24T16:10:05+0530,ok
2026-04-24,MAPMYINDIA,MAPMYINDIA.NS,926.7,950.0,954.75,917.5,921.85,92240,2.514,-0.523,,2026-04-24T16:10:05+0530,ok
2026-04-24,NEWGEN,NEWGEN.NS,471.95,476.0,479.25,461.15,462.75,663551,0.858,-1.949,,2026-04-24T16:10:05+0530,ok
2026-04-24,PAYTM,PAYTM.NS,1161.35,1159.95,1170.0,1142.5,1147.35,1240832,-0.121,-1.205,,2026-04-24T16:10:05+0530,ok
